company_name,homepage_url,careers_url,vc_backers,notes
# VC Portfolio Companies - Updated with a16z Top 100 Gen AI + Sequoia AI Portfolio
# Format: company_name,homepage_url,careers_url,vc_backers,notes

# =====================================================
# a16z Top 100 Gen AI Apps (2026)
# Source: https://a16z.com/100-gen-ai-apps-5/
# =====================================================

# Consumer AI - Web
Character.AI,https://character.ai,https://character.ai/careers,"a16z",AI companions
Cursor,https://cursor.sh,https://cursor.sh/careers,"a16z, Thrive Capital",AI code editor
ElevenLabs,https://elevenlabs.io,https://elevenlabs.io/careers,"a16z, Sequoia",Voice AI
Gamma,https://gamma.app,https://gamma.app/careers,"Accel",AI presentations
Lovable,https://lovable.dev,https://lovable.dev/careers,YC,AI app builder
Midjourney,https://midjourney.com,,Independent,Image generation
Perplexity,https://perplexity.ai,https://perplexity.ai/careers,"IVP, NEA, Databricks",AI search
Photoroom,https://photoroom.com,https://www.photoroom.com/careers,"Balderton, a16z",AI photo editing
Replit,https://replit.com,https://replit.com/careers,"a16z, YC",AI coding platform
Suno,https://suno.ai,https://suno.ai/careers,"Lightspeed",AI music generation
Veed,https://veed.io,https://www.veed.io/careers,Sequoia,AI video editing

# =====================================================
# a16z AI Spending Report Companies
# Source: https://a16z.com/the-ai-application-spending-report
# =====================================================

# Productivity & Agents
Notion,https://notion.so,https://www.notion.so/careers,"Sequoia, Index Ventures",Productivity and AI
Manus,https://manus.im,https://manus.im/careers,Independent,AI agent
Otter.ai,https://otter.ai,https://otter.ai/careers,Horizons Ventures,Meeting transcription
Read.ai,https://read.ai,https://read.ai/careers,Madrona,Meeting AI
Fyxer,https://fyxer.ai,https://fyxer.ai/careers,,Email AI

# Creative Tools
Canva,https://canva.com,https://www.canva.com/careers,Sequoia,Design platform with AI
Descript,https://descript.com,https://descript.com/careers,"a16z, Spark Capital",Video/audio editing AI
Opus Clip,https://opus.pro,https://opus.pro/careers,,AI video clipping

# Code & Dev Tools
Cognition,https://cognition-labs.com,https://cognition-labs.com/careers,"Founders Fund, a16z",Devin AI agent
Cursor,https://cursor.sh,https://cursor.sh/careers,"a16z, Thrive Capital",AI code editor

# Sales & Marketing
Clay,https://clay.com,https://clay.com/careers,"Sequoia, Meritech",Data enrichment AI
Instantly,https://instantly.ai,https://instantly.ai/careers,,Sales outreach AI
11x,https://11x.ai,https://11x.ai/careers,"a16z, Benchmark",AI SDR

# Customer Service
Ada,https://ada.cx,https://ada.cx/careers,"Accel, Spark",AI customer service
Crisp,https://crisp.chat,https://crisp.chat/careers,,Customer messaging AI
Lorikeet,https://lorikeetcx.ai,https://lorikeetcx.ai/careers,,Customer support AI

# HR & Recruiting
Micro1,https://micro1.ai,https://micro1.ai/careers,,AI recruiting
Metaview,https://metaview.ai,https://metaview.ai/careers,,Interview AI

# Legal
Harvey,https://www.harvey.ai,https://www.harvey.ai/careers,"Sequoia, Kleiner Perkins",Legal AI
Crosby Legal,https://crosby.ai,https://crosby.ai/careers,,Legal AI

# =====================================================
# Sequoia Capital AI Portfolio
# Source: Sequoia portfolio tracking
# =====================================================

